case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,copy_case_id
all,2050,PJMW,,,,,,,,,,,,,,,,,1,,
all,2050,RMRG,,,,,,,,,,,,,,,,,1,,
all,2050,SPPC,,,,,,,,,,,,,,,,,1,,
all,2050,SPPN,,,,,,,,,,,,,,,,,1,,
all,2050,SPPS,,,,,,,,,,,,,,,,,1,,
all,2050,SRCA,,,,,,,,,,,,,,,,,1,,
all,2050,SRCE,,,,,,,,,,,,,,,,,1,,
all,2050,SRSE,,,,,,,,,,,,,,,,,1,,
all,2050,SRSG,,,,,,,,,,,,,,,,,1,,
all,2050,TRE,,,,,,,,,,,,,,,,,1,,
all,2050,TRE_WEST,,,,,,,,,,,,,,,,,1,,
