model,line,line_name,planning_year,case,unit,AnnualSum
GenX,17.0,MISC_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,731613063.968182
GenX,18.0,MISC_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1591359615.269131
GenX,19.0,MISC_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,5007.926388114344
GenX,20.0,MISC_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2464480529.7487307
GenX,21.0,MISC_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1964655817.1876075
GenX,22.0,MISE_to_MISW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,3333.471349378652
GenX,23.0,MISE_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,348297656.71494603
GenX,24.0,MISS_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,311460673.6751027
GenX,25.0,MISS_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,4067334303.260879
GenX,26.0,MISS_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,805785249.3519052
GenX,27.0,MISS_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,441984735.35849655
GenX,28.0,MISW_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,336778062.2401148
GenX,29.0,MISW_to_PJMC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,722586308.6203575
GenX,30.0,MISW_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,10335.790693025458
GenX,31.0,MISW_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2303888070.1391
GenX,32.0,NWPP_to_RMRG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,224965281.39331803
GenX,33.0,NYCW_to_NYUP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,377497502.97304034
GenX,34.0,NYCW_to_PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,344875510.51354694
GenX,35.0,NYUP_to_PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,38999915.65137968
GenX,36.0,PJMC_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,636927236.8173296
GenX,37.0,PJMD_to_PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1343969249.2481568
GenX,38.0,PJMD_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,3691461726.776335
GenX,39.0,PJMD_to_SRCA,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,389258914.6080535
GenX,40.0,PJME_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,544203146.2482432
GenX,41.0,PJMW_to_SRCA,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1197283878.1434956
GenX,42.0,PJMW_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1967269349.8383749
GenX,43.0,RMRG_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1288159650.799756
GenX,44.0,RMRG_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1237653200.8573637
GenX,45.0,RMRG_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,941259293.8189044
GenX,46.0,SPPC_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,135089490.93092605
GenX,47.0,SPPC_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,582359546.8765962
GenX,48.0,SPPN_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,772443169.7509531
GenX,49.0,SPPS_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,8199705730.974286
GenX,50.0,SPPS_to_TRE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,664028586.2399551
GenX,51.0,SPPS_to_TRE_WEST,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,447741340.6548708
GenX,52.0,SRCA_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,51894565.02268573
GenX,53.0,SRCA_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,289338574.4059589
GenX,54.0,SRCE_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1286012508.8106773
GenX,55.0,TRE_to_TRE_WEST,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2191994092.92894
GenX,56.0,NWPP_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1084584447.8231428
GenX,57.0,SRSG_to_TRE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,3989181905.236929
