GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
MISC_petroleum_liquids_1,Petroleum Liquids,Diesel,MISC,40,FALSE,FALSE,.,5.837,0,MISC_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,208.2
MISC_small_hydroelectric_1,Small Hydroelectric,Water,MISC,100,FALSE,FALSE,.,0,0,MISC_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,12.888
MISC_solar_photovoltaic_1,Solar Photovoltaic,Solar,MISC,30,TRUE,FALSE,.,0,0,MISC_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,3878.1
MISE_biomass_1,Biomass,Bio Solid,MISE,50,FALSE,FALSE,.,6.578,0,MISE_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,174.3
MISE_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISE,65,FALSE,TRUE,12.352,1.879,0,MISE_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,62.3
MISE_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,MISE,100,FALSE,FALSE,.,0,0,MISE_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,2047
MISE_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISE,60,FALSE,FALSE,7.829,3.677,0,MISE_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,6749.6
MISE_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISE,50,FALSE,FALSE,11.954,5.279,0,MISE_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,4389.6
MISE_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISE,60,FALSE,FALSE,9.529,4.902,0,MISE_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,82.9
MISE_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISE,50,FALSE,FALSE,22.407,1.056,0,MISE_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,93
MISE_nuclear_1,Nuclear,Uranium,MISE,80,FALSE,TRUE,10.501,2.856,0,MISE_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,1161
MISE_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISE,30,TRUE,FALSE,.,0,0,MISE_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,3075.1
MISE_petroleum_liquids_1,Petroleum Liquids,Diesel,MISE,40,FALSE,FALSE,.,5.434,0,MISE_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,28.7
MISE_small_hydroelectric_1,Small Hydroelectric,Water,MISE,100,FALSE,FALSE,.,0,0,MISE_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,15.3
MISE_solar_photovoltaic_1,Solar Photovoltaic,Solar,MISE,30,TRUE,FALSE,.,0,0,MISE_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,1073.5
MISS_biomass_1,Biomass,Bio Solid,MISS,50,FALSE,FALSE,.,4.073,0,MISS_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,152.8
MISS_conventional_hydroelectric_1,Conventional Hydroelectric,Water,MISS,100,FALSE,FALSE,.,0,0,MISS_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,521.4
MISS_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISS,65,FALSE,TRUE,11.704,1.879,0,MISS_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,6111.1
MISS_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISS,60,FALSE,FALSE,7.779,3.651,0,MISS_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,20100.5
MISS_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISS,50,FALSE,FALSE,11.601,5.279,0,MISS_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,4146.8
MISS_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISS,60,FALSE,FALSE,9.05,4.655,0,MISS_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,82.8
MISS_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISS,50,FALSE,FALSE,24.601,1.056,0,MISS_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,168.6
MISS_nuclear_1,Nuclear,Uranium,MISS,80,FALSE,TRUE,10.451,2.842,0,MISS_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,5426
MISS_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISS,30,TRUE,FALSE,.,0,0,MISS_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,184.5
MISS_petroleum_liquids_1,Petroleum Liquids,Diesel,MISS,40,FALSE,FALSE,.,7.007,0,MISS_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,39.3
MISS_small_hydroelectric_1,Small Hydroelectric,Water,MISS,100,FALSE,FALSE,.,0,0,MISS_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,36.6
MISS_solar_photovoltaic_1,Solar Photovoltaic,Solar,MISS,30,TRUE,FALSE,.,0,0,MISS_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,2053.9
MISW_biomass_1,Biomass,Bio Solid,MISW,50,FALSE,FALSE,.,6.778,0,MISW_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,407.3
MISW_conventional_hydroelectric_1,Conventional Hydroelectric,Water,MISW,100,FALSE,FALSE,.,0,0,MISW_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,82
MISW_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISW,65,FALSE,TRUE,11.326,1.879,0,MISW_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,8421.9
MISW_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISW,60,FALSE,FALSE,7.242,3.749,0,MISW_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,7688.6
MISW_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISW,50,FALSE,FALSE,12.146,5.279,0,MISW_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,6388.6
MISW_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISW,60,FALSE,FALSE,8.672,4.461,0,MISW_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,683.2
MISW_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISW,50,FALSE,FALSE,17.62,1.056,0,MISW_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,174.8
MISW_nuclear_1,Nuclear,Uranium,MISW,80,FALSE,TRUE,10.446,2.841,0,MISW_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,2943.2
MISW_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISW,30,TRUE,FALSE,.,0,0,MISW_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,13734.3
