model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,MISS,MISS_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-foresight,3130,16687
USENSYS,MISS,MISS_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-foresight,16688,27564
USENSYS,MISS,MISS_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-foresight,0,6
USENSYS,MISS,MISS_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,0,30
USENSYS,MISW,MISW_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,MISW,MISW_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,5
USENSYS,MISW,MISW_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,5,20141
USENSYS,MISW,MISW_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,9068
USENSYS,MISW,MISW_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,16585
USENSYS,MISW,MISW_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-foresight,16585,42498
USENSYS,MISW,MISW_landbasedwind_class3_moderate_0,Wind,MW,2050,26z-debug-foresight,42498,53829
USENSYS,MISW,MISW_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug-foresight,0,19751
USENSYS,MISW,MISW_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug-foresight,0,3674
USENSYS,MISW,MISW_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-foresight,3674,3677
USENSYS,MISW,MISW_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug-foresight,0,20518
USENSYS,MISW,MISW_utilitypv_class1_moderate_4,Solar,MW,2040,26z-debug-foresight,20519,46487
USENSYS,MISW,MISW_utilitypv_class1_moderate_4,Solar,MW,2050,26z-debug-foresight,46487,48456
USENSYS,MISW,MISW_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,0,9722
USENSYS,NWPP,NWPP_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,NWPP,NWPP_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,8406
USENSYS,NWPP,NWPP_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,61
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-foresight,0,5434
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug-foresight,0,2856
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_2,Wind,MW,2050,26z-debug-foresight,0,12851
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug-foresight,0,5175
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_3,Wind,MW,2050,26z-debug-foresight,5175,5217
USENSYS,NWPP,NWPP_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-foresight,0,2476
USENSYS,NWPP,NWPP_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-foresight,2475,21518
USENSYS,NYCW,NYCW_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,NYCW,NYCW_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,1
USENSYS,NYCW,NYCW_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,1,3386
USENSYS,NYCW,NYCW_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,2
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_0_1,Wind,MW,2040,26z-debug-foresight,0,838
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_0_2,Wind,MW,2040,26z-debug-foresight,0,779
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_1_1,Wind,MW,2040,26z-debug-foresight,0,2225
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_1_2,Wind,MW,2040,26z-debug-foresight,0,2208
USENSYS,NYCW,NYCW_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug-foresight,0,5
USENSYS,NYUP,NYUP_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,NYUP,NYUP_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,3361
USENSYS,NYUP,NYUP_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,2843
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,2218
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug-foresight,0,802
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,6828
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug-foresight,0,2787
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug-foresight,0,1889
USENSYS,NYUP,NYUP_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-foresight,0,4138
