model,zone,fuel,planning_year,case,unit,value
USENSYS,PJME,middle_atlantic_uranium,2050,26z-debug-foresight,MMBtu,663263216
USENSYS,BASN,mountain_coal,2030,26z-debug-foresight,MMBtu,572
USENSYS,BASN,mountain_coal,2040,26z-debug-foresight,MMBtu,443
USENSYS,BASN,mountain_coal,2050,26z-debug-foresight,MMBtu,-110
USENSYS,RMRG,mountain_coal,2030,26z-debug-foresight,MMBtu,537
USENSYS,RMRG,mountain_coal,2040,26z-debug-foresight,MMBtu,419
USENSYS,RMRG,mountain_coal,2050,26z-debug-foresight,MMBtu,-103
USENSYS,SRSG,mountain_coal,2030,26z-debug-foresight,MMBtu,581
USENSYS,SRSG,mountain_coal,2040,26z-debug-foresight,MMBtu,440
USENSYS,SRSG,mountain_coal,2050,26z-debug-foresight,MMBtu,-103
USENSYS,BASN,mountain_distillate,2030,26z-debug-foresight,MMBtu,28
USENSYS,BASN,mountain_distillate,2040,26z-debug-foresight,MMBtu,-2
USENSYS,BASN,mountain_distillate,2050,26z-debug-foresight,MMBtu,-156
USENSYS,RMRG,mountain_distillate,2030,26z-debug-foresight,MMBtu,88
USENSYS,RMRG,mountain_distillate,2040,26z-debug-foresight,MMBtu,109
USENSYS,RMRG,mountain_distillate,2050,26z-debug-foresight,MMBtu,-55
USENSYS,BASN,mountain_naturalgas,2030,26z-debug-foresight,MMBtu,43599890
USENSYS,BASN,mountain_naturalgas,2040,26z-debug-foresight,MMBtu,35067278
USENSYS,BASN,mountain_naturalgas,2050,26z-debug-foresight,MMBtu,-268
USENSYS,RMRG,mountain_naturalgas,2030,26z-debug-foresight,MMBtu,7078594
USENSYS,RMRG,mountain_naturalgas,2040,26z-debug-foresight,MMBtu,7253934
USENSYS,RMRG,mountain_naturalgas,2050,26z-debug-foresight,MMBtu,-319
USENSYS,SRSG,mountain_naturalgas,2030,26z-debug-foresight,MMBtu,46113477
USENSYS,SRSG,mountain_naturalgas,2040,26z-debug-foresight,MMBtu,29080318
USENSYS,SRSG,mountain_naturalgas,2050,26z-debug-foresight,MMBtu,-293
USENSYS,RMRG,mountain_naturalgas_ccs90,2030,26z-debug-foresight,MMBtu,1968
USENSYS,RMRG,mountain_naturalgas_ccs90,2040,26z-debug-foresight,MMBtu,2539
USENSYS,RMRG,mountain_naturalgas_ccs90,2050,26z-debug-foresight,MMBtu,11
USENSYS,SRSG,mountain_naturalgas_ccs90,2030,26z-debug-foresight,MMBtu,1737
USENSYS,SRSG,mountain_naturalgas_ccs90,2040,26z-debug-foresight,MMBtu,2756
USENSYS,SRSG,mountain_naturalgas_ccs90,2050,26z-debug-foresight,MMBtu,11
USENSYS,SRSG,mountain_uranium,2030,26z-debug-foresight,MMBtu,202051121
USENSYS,SRSG,mountain_uranium,2040,26z-debug-foresight,MMBtu,142186965
USENSYS,SRSG,mountain_uranium,2050,26z-debug-foresight,MMBtu,151829846
USENSYS,ISNE,new_england_distillate,2030,26z-debug-foresight,MMBtu,70539
USENSYS,ISNE,new_england_distillate,2040,26z-debug-foresight,MMBtu,58005
USENSYS,ISNE,new_england_distillate,2050,26z-debug-foresight,MMBtu,-55
USENSYS,ISNE,new_england_naturalgas,2030,26z-debug-foresight,MMBtu,140758669
USENSYS,ISNE,new_england_naturalgas,2040,26z-debug-foresight,MMBtu,75219598
USENSYS,ISNE,new_england_naturalgas,2050,26z-debug-foresight,MMBtu,-44
USENSYS,ISNE,new_england_uranium,2030,26z-debug-foresight,MMBtu,233053120
USENSYS,ISNE,new_england_uranium,2040,26z-debug-foresight,MMBtu,173154105
USENSYS,ISNE,new_england_uranium,2050,26z-debug-foresight,MMBtu,154151275
USENSYS,BASN,None,2030,26z-debug-foresight,MMBtu,362049943
USENSYS,BASN,None,2040,26z-debug-foresight,MMBtu,390026585
USENSYS,BASN,None,2050,26z-debug-foresight,MMBtu,384497620
USENSYS,CANO,None,2030,26z-debug-foresight,MMBtu,686107181
USENSYS,CANO,None,2040,26z-debug-foresight,MMBtu,737138445
USENSYS,CANO,None,2050,26z-debug-foresight,MMBtu,676142749
USENSYS,CASO,None,2030,26z-debug-foresight,MMBtu,211425719
USENSYS,CASO,None,2040,26z-debug-foresight,MMBtu,285790241
USENSYS,CASO,None,2050,26z-debug-foresight,MMBtu,373073588
USENSYS,FRCC,None,2030,26z-debug-foresight,MMBtu,155136370
USENSYS,FRCC,None,2040,26z-debug-foresight,MMBtu,295875289
USENSYS,FRCC,None,2050,26z-debug-foresight,MMBtu,416788359
USENSYS,ISNE,None,2030,26z-debug-foresight,MMBtu,182064288
USENSYS,ISNE,None,2040,26z-debug-foresight,MMBtu,254683514
USENSYS,ISNE,None,2050,26z-debug-foresight,MMBtu,290318768
USENSYS,MISC,None,2030,26z-debug-foresight,MMBtu,191409930
USENSYS,MISC,None,2040,26z-debug-foresight,MMBtu,243687580
USENSYS,MISC,None,2050,26z-debug-foresight,MMBtu,256528039
USENSYS,MISE,None,2030,26z-debug-foresight,MMBtu,81434945
USENSYS,MISE,None,2040,26z-debug-foresight,MMBtu,110686580
USENSYS,MISE,None,2050,26z-debug-foresight,MMBtu,136731777
USENSYS,MISS,None,2030,26z-debug-foresight,MMBtu,100521483
USENSYS,MISS,None,2040,26z-debug-foresight,MMBtu,164558059
USENSYS,MISS,None,2050,26z-debug-foresight,MMBtu,188714839
USENSYS,MISW,None,2030,26z-debug-foresight,MMBtu,314804354
USENSYS,MISW,None,2040,26z-debug-foresight,MMBtu,464480816
USENSYS,MISW,None,2050,26z-debug-foresight,MMBtu,490129897
USENSYS,NWPP,None,2030,26z-debug-foresight,MMBtu,2923730859
USENSYS,NWPP,None,2040,26z-debug-foresight,MMBtu,2927413238
USENSYS,NWPP,None,2050,26z-debug-foresight,MMBtu,2765283601
USENSYS,NYCW,None,2030,26z-debug-foresight,MMBtu,2703180
USENSYS,NYCW,None,2040,26z-debug-foresight,MMBtu,27776988
USENSYS,NYCW,None,2050,26z-debug-foresight,MMBtu,28370518
USENSYS,NYUP,None,2030,26z-debug-foresight,MMBtu,402060584
USENSYS,NYUP,None,2040,26z-debug-foresight,MMBtu,427130432
USENSYS,NYUP,None,2050,26z-debug-foresight,MMBtu,438886234
USENSYS,PJMC,None,2030,26z-debug-foresight,MMBtu,67604985
USENSYS,PJMC,None,2040,26z-debug-foresight,MMBtu,132349275
USENSYS,PJMC,None,2050,26z-debug-foresight,MMBtu,142669807
USENSYS,PJMD,None,2030,26z-debug-foresight,MMBtu,138572281
USENSYS,PJMD,None,2040,26z-debug-foresight,MMBtu,171439027
USENSYS,PJMD,None,2050,26z-debug-foresight,MMBtu,207839323
USENSYS,PJME,None,2030,26z-debug-foresight,MMBtu,223671293
USENSYS,PJME,None,2040,26z-debug-foresight,MMBtu,334408600
USENSYS,PJME,None,2050,26z-debug-foresight,MMBtu,425613039
USENSYS,PJMW,None,2030,26z-debug-foresight,MMBtu,260571823
USENSYS,PJMW,None,2040,26z-debug-foresight,MMBtu,350311063
USENSYS,PJMW,None,2050,26z-debug-foresight,MMBtu,469952353
USENSYS,RMRG,None,2030,26z-debug-foresight,MMBtu,249285399
USENSYS,RMRG,None,2040,26z-debug-foresight,MMBtu,332884533
USENSYS,RMRG,None,2050,26z-debug-foresight,MMBtu,350116624
USENSYS,SPPC,None,2030,26z-debug-foresight,MMBtu,86206733
USENSYS,SPPC,None,2040,26z-debug-foresight,MMBtu,128198732
USENSYS,SPPC,None,2050,26z-debug-foresight,MMBtu,130911328
USENSYS,SPPN,None,2030,26z-debug-foresight,MMBtu,305346367
USENSYS,SPPN,None,2040,26z-debug-foresight,MMBtu,405675481
USENSYS,SPPN,None,2050,26z-debug-foresight,MMBtu,414810402
USENSYS,SPPS,None,2030,26z-debug-foresight,MMBtu,437052714
USENSYS,SPPS,None,2040,26z-debug-foresight,MMBtu,539919177
USENSYS,SPPS,None,2050,26z-debug-foresight,MMBtu,574310921
USENSYS,SRCA,None,2030,26z-debug-foresight,MMBtu,212480924
USENSYS,SRCA,None,2040,26z-debug-foresight,MMBtu,268280417
USENSYS,SRCA,None,2050,26z-debug-foresight,MMBtu,335155607
USENSYS,SRCE,None,2030,26z-debug-foresight,MMBtu,544363379
USENSYS,SRCE,None,2040,26z-debug-foresight,MMBtu,641114437
USENSYS,SRCE,None,2050,26z-debug-foresight,MMBtu,526794805
USENSYS,SRSE,None,2030,26z-debug-foresight,MMBtu,404203564
USENSYS,SRSE,None,2040,26z-debug-foresight,MMBtu,511678970
USENSYS,SRSE,None,2050,26z-debug-foresight,MMBtu,594353347
USENSYS,SRSG,None,2030,26z-debug-foresight,MMBtu,372751219
USENSYS,SRSG,None,2040,26z-debug-foresight,MMBtu,413644678
USENSYS,SRSG,None,2050,26z-debug-foresight,MMBtu,413108234
USENSYS,TRE,None,2030,26z-debug-foresight,MMBtu,389785807
USENSYS,TRE,None,2040,26z-debug-foresight,MMBtu,579324986
USENSYS,TRE,None,2050,26z-debug-foresight,MMBtu,632295941
USENSYS,TRE_WEST,None,2030,26z-debug-foresight,MMBtu,143593254
USENSYS,TRE_WEST,None,2040,26z-debug-foresight,MMBtu,183457994
USENSYS,TRE_WEST,None,2050,26z-debug-foresight,MMBtu,172952447
USENSYS,CASO,pacific_coal,2030,26z-debug-foresight,MMBtu,291
USENSYS,CASO,pacific_coal,2040,26z-debug-foresight,MMBtu,229
USENSYS,CASO,pacific_coal,2050,26z-debug-foresight,MMBtu,-53
USENSYS,NWPP,pacific_coal,2030,26z-debug-foresight,MMBtu,453
USENSYS,NWPP,pacific_coal,2040,26z-debug-foresight,MMBtu,397
USENSYS,NWPP,pacific_coal,2050,26z-debug-foresight,MMBtu,-117
USENSYS,CANO,pacific_distillate,2030,26z-debug-foresight,MMBtu,89
USENSYS,CANO,pacific_distillate,2040,26z-debug-foresight,MMBtu,117
USENSYS,CANO,pacific_distillate,2050,26z-debug-foresight,MMBtu,-58
USENSYS,CASO,pacific_distillate,2030,26z-debug-foresight,MMBtu,91
USENSYS,CASO,pacific_distillate,2040,26z-debug-foresight,MMBtu,110
