model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4520167
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4520167
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4520167
USENSYS,BASN,BASN_landbasedwind_class3_moderate_4,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,16722366
USENSYS,BASN,BASN_landbasedwind_class3_moderate_4,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,16722366
USENSYS,BASN,BASN_landbasedwind_class3_moderate_5,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,22051256
USENSYS,BASN,BASN_landbasedwind_class3_moderate_5,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,22051256
USENSYS,BASN,BASN_landbasedwind_class3_moderate_6,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,11630855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_6,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,11630855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4053619
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4053619
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,4053619
USENSYS,BASN,BASN_landbasedwind_class3_moderate_8,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,17997412
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2511579
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2511579
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,2511579
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,95988
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,228244
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,145092
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,7412297
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,8460347
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,5749702
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1028
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,344605
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,255995
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2030,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,1888
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,26z-8760-no-ccs_d365_h24_8760_2030_2050,MWh,49540
