model,line_name,planning_year,case,unit,end_value
USENSYS,RMRG_to_SPPC,2030,base-8760-perfect foresight-cheap transmission,MW,3362
USENSYS,RMRG_to_SPPC,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,RMRG_to_SPPC,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,RMRG_to_SPPN,2030,base-8760-perfect foresight-cheap transmission,MW,3861
USENSYS,RMRG_to_SPPN,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,RMRG_to_SPPN,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,RMRG_to_SRSG,2030,base-8760-perfect foresight-cheap transmission,MW,614
USENSYS,RMRG_to_SRSG,2040,base-8760-perfect foresight-cheap transmission,MW,5662
USENSYS,RMRG_to_SRSG,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SPPC_to_SPPN,2030,base-8760-perfect foresight-cheap transmission,MW,1433
USENSYS,SPPC_to_SPPN,2040,base-8760-perfect foresight-cheap transmission,MW,14330
USENSYS,SPPC_to_SPPN,2050,base-8760-perfect foresight-cheap transmission,MW,14330
USENSYS,SPPC_to_SPPS,2030,base-8760-perfect foresight-cheap transmission,MW,3372
USENSYS,SPPC_to_SPPS,2040,base-8760-perfect foresight-cheap transmission,MW,26618
USENSYS,SPPC_to_SPPS,2050,base-8760-perfect foresight-cheap transmission,MW,33720
USENSYS,SPPN_to_SPPS,2030,base-8760-perfect foresight-cheap transmission,MW,6522
USENSYS,SPPN_to_SPPS,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SPPN_to_SPPS,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SPPS_to_SRSG,2030,base-8760-perfect foresight-cheap transmission,MW,4094
USENSYS,SPPS_to_SRSG,2040,base-8760-perfect foresight-cheap transmission,MW,10100
USENSYS,SPPS_to_SRSG,2050,base-8760-perfect foresight-cheap transmission,MW,10100
USENSYS,SPPS_to_TRE,2030,base-8760-perfect foresight-cheap transmission,MW,7250
USENSYS,SPPS_to_TRE,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SPPS_to_TRE,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SPPS_to_TRE_WEST,2030,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SPPS_to_TRE_WEST,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SPPS_to_TRE_WEST,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SRCA_to_SRCE,2030,base-8760-perfect foresight-cheap transmission,MW,216
USENSYS,SRCA_to_SRCE,2040,base-8760-perfect foresight-cheap transmission,MW,5092
USENSYS,SRCA_to_SRCE,2050,base-8760-perfect foresight-cheap transmission,MW,5092
USENSYS,SRCA_to_SRSE,2030,base-8760-perfect foresight-cheap transmission,MW,1400
USENSYS,SRCA_to_SRSE,2040,base-8760-perfect foresight-cheap transmission,MW,4888
USENSYS,SRCA_to_SRSE,2050,base-8760-perfect foresight-cheap transmission,MW,4888
USENSYS,SRCE_to_SRSE,2030,base-8760-perfect foresight-cheap transmission,MW,3196
USENSYS,SRCE_to_SRSE,2040,base-8760-perfect foresight-cheap transmission,MW,19460
USENSYS,SRCE_to_SRSE,2050,base-8760-perfect foresight-cheap transmission,MW,26474
USENSYS,SRSG_to_TRE,2030,base-8760-perfect foresight-cheap transmission,MW,658
USENSYS,SRSG_to_TRE,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,SRSG_to_TRE,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,TRE_to_TRE_WEST,2030,base-8760-perfect foresight-cheap transmission,MW,16529
USENSYS,TRE_to_TRE_WEST,2040,base-8760-perfect foresight-cheap transmission,MW,16529
USENSYS,TRE_to_TRE_WEST,2050,base-8760-perfect foresight-cheap transmission,MW,20723
