GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Eastern_conventional_hydroelectric_1,2007,9.4,.
Eastern_conventional_hydroelectric_1,1945,277.5,.
Eastern_conventional_hydroelectric_1,1938,189.7,.
Eastern_conventional_hydroelectric_1,2011,18.9,.
Eastern_conventional_hydroelectric_1,1946,57.1,.
Eastern_conventional_hydroelectric_1,1910,54.7,.
Eastern_conventional_hydroelectric_1,1954,595.6,.
Eastern_conventional_hydroelectric_1,1918,87.3,.
Eastern_conventional_hydroelectric_1,1935,62.0,.
Eastern_conventional_hydroelectric_1,1907,57.1,.
Eastern_conventional_hydroelectric_1,1904,0.7,.
Eastern_conventional_hydroelectric_1,1940,346.3,.
Eastern_conventional_hydroelectric_1,1922,61.8,.
Eastern_conventional_hydroelectric_1,1974,87.3,.
Eastern_conventional_hydroelectric_1,1934,37.6,.
Eastern_conventional_hydroelectric_1,1912,123.1,.
Eastern_conventional_hydroelectric_1,1901,0.6,.
Eastern_conventional_hydroelectric_1,1943,300.5,.
Eastern_conventional_hydroelectric_1,1905,26.7,.
Eastern_conventional_hydroelectric_1,1988,265.2,.
Eastern_conventional_hydroelectric_1,1979,3.6,.
Eastern_conventional_hydroelectric_1,2013,175.1,.
Eastern_conventional_hydroelectric_1,1973,264.2,.
Eastern_conventional_hydroelectric_1,1957,434.5,.
Eastern_conventional_hydroelectric_1,2023,57.2,.
Eastern_conventional_hydroelectric_1,1909,16.2,.
Eastern_conventional_hydroelectric_1,1987,104.9,.
Eastern_conventional_hydroelectric_1,1981,36.2,.
Eastern_conventional_hydroelectric_1,1902,0.4,.
Eastern_conventional_hydroelectric_1,1908,21.2,.
Eastern_conventional_hydroelectric_1,2009,10.7,.
Eastern_conventional_hydroelectric_1,2019,1.2,.
Eastern_conventional_hydroelectric_1,1960,237.5,.
Eastern_conventional_hydroelectric_1,1958,499.9,.
Eastern_conventional_hydroelectric_1,1971,336.90000000000003,.
Eastern_conventional_hydroelectric_1,1933,34.9,.
Eastern_conventional_hydroelectric_1,1947,0.6,.
Eastern_conventional_hydroelectric_1,2021,58.1,.
Eastern_conventional_hydroelectric_1,1896,2.4000000000000004,.
Eastern_conventional_hydroelectric_1,1891,3.9,.
Eastern_conventional_hydroelectric_1,1980,128.1,.
Eastern_conventional_hydroelectric_1,2014,8.0,.
Eastern_conventional_hydroelectric_1,1975,456.6,.
Eastern_conventional_hydroelectric_1,1977,61.6,.
Eastern_conventional_hydroelectric_1,2012,99.1,.
Eastern_conventional_hydroelectric_1,1999,115.6,.
Eastern_conventional_hydroelectric_1,1893,0.6,.
Eastern_conventional_hydroelectric_1,2006,4.8,.
Eastern_conventional_hydroelectric_1,1992,8.3,.
Eastern_conventional_hydroelectric_1,1995,47.2,.
Eastern_conventional_hydroelectric_1,1978,1.0,.
Eastern_conventional_hydroelectric_1,1997,0.8,.
Eastern_conventional_hydroelectric_1,2000,0.4,.
Eastern_conventional_hydroelectric_1,2016,248.5,.
Eastern_conventional_hydroelectric_1,1900,2.8,.
Eastern_conventional_hydroelectric_1,2017,75.9,.
Eastern_conventional_hydroelectric_1,2024,144.4,.
Eastern_conventional_hydroelectric_1,2025,38.8,.
Eastern_conventional_hydroelectric_1,2026,2.8,.
Eastern_conventional_hydroelectric_1,2022,2.5,.
Eastern_conventional_steam_coal_1,1969,3960.8,.
Eastern_conventional_steam_coal_1,1971,7871.5,.
Eastern_conventional_steam_coal_1,1974,6360.0,.
Eastern_conventional_steam_coal_1,1982,5682.4,.
Eastern_conventional_steam_coal_1,1981,5744.6,.
Eastern_conventional_steam_coal_1,2011,2613.0,.
Eastern_conventional_steam_coal_1,1983,4026.8,.
Eastern_conventional_steam_coal_1,1995,1176.0,.
Eastern_conventional_steam_coal_1,1984,6767.0,.
Eastern_conventional_steam_coal_1,2007,1418.9,.
Eastern_conventional_steam_coal_1,2008,1158.5,.
Eastern_conventional_steam_coal_1,1985,1646.2,.
Eastern_conventional_steam_coal_1,1987,1490.2,.
Eastern_conventional_steam_coal_1,1996,897.4,.
Eastern_conventional_steam_coal_1,1991,1463.1,.
Eastern_conventional_steam_coal_1,1959,317.2,.
Eastern_conventional_steam_coal_1,1961,454.8,.
Eastern_conventional_steam_coal_1,1970,3848.1,.
Eastern_conventional_steam_coal_1,1973,8335.8,.
Eastern_conventional_steam_coal_1,1966,1943.4,.
Eastern_conventional_steam_coal_1,1972,6044.4,.
Eastern_conventional_steam_coal_1,1975,6183.8,.
Eastern_conventional_steam_coal_1,2009,1335.0,.
Eastern_conventional_steam_coal_1,1963,260.3,.
Eastern_conventional_steam_coal_1,1955,2067.4,.
Eastern_conventional_steam_coal_1,1956,199.7,.
Eastern_conventional_steam_coal_1,1986,984.6,.
Eastern_conventional_steam_coal_1,1977,4819.5,.
Eastern_conventional_steam_coal_1,1997,78.2,.
Eastern_conventional_steam_coal_1,1958,569.1,.
Eastern_conventional_steam_coal_1,1978,4454.8,.
Eastern_conventional_steam_coal_1,1968,2798.2,.
Eastern_conventional_steam_coal_1,2000,123.8,.
Eastern_conventional_steam_coal_1,1960,380.8,.
Eastern_conventional_steam_coal_1,1953,151.0,.
Eastern_conventional_steam_coal_1,1965,1289.8,.
Eastern_conventional_steam_coal_1,1980,5302.4,.
Eastern_conventional_steam_coal_1,1957,64.1,.
Eastern_conventional_steam_coal_1,1976,1780.5,.
Eastern_conventional_steam_coal_1,1952,48.0,.
Eastern_conventional_steam_coal_1,2012,3753.0,.
Eastern_conventional_steam_coal_1,1967,2611.7,.
Eastern_conventional_steam_coal_1,1954,11.5,.
Eastern_conventional_steam_coal_1,1949,18.0,.
Eastern_conventional_steam_coal_1,1990,1106.7,.
Eastern_conventional_steam_coal_1,1979,3978.5,.
Eastern_conventional_steam_coal_1,2004,521.0,.
Eastern_conventional_steam_coal_1,1989,761.6,.
Eastern_conventional_steam_coal_1,2005,373.0,.
Eastern_conventional_steam_coal_1,2010,2255.8,.
Eastern_conventional_steam_coal_1,1964,146.3,.
Eastern_conventional_steam_coal_1,1988,219.8,.
Eastern_conventional_steam_coal_1,1992,163.0,.
Eastern_conventional_steam_coal_1,1999,180.0,.
Eastern_conventional_steam_coal_1,1962,87.7,.
Eastern_conventional_steam_coal_1,1994,65.6,.
Eastern_conventional_steam_coal_1,1948,12.0,.
Eastern_conventional_steam_coal_1,1946,6.0,.
Eastern_conventional_steam_coal_1,1936,6.0,.
Eastern_conventional_steam_coal_1,1939,6.0,.
Eastern_conventional_steam_coal_1,1941,6.0,.
Eastern_conventional_steam_coal_1,1951,17.5,.
Eastern_conventional_steam_coal_1,1993,86.0,.
Eastern_conventional_steam_coal_1,1930,5.8,.
Eastern_conventional_steam_coal_1,2001,440.0,.
Eastern_conventional_steam_coal_1,1950,4.0,.
Eastern_conventional_steam_coal_1,1998,2.8,.
Eastern_hydroelectric_pumped_storage_1,1972,322.0,4991.0
Eastern_hydroelectric_pumped_storage_1,1929,2.0,31.0
Eastern_hydroelectric_pumped_storage_1,1928,27.0,418.5
Eastern_hydroelectric_pumped_storage_1,1973,4478.1,69410.55
Eastern_hydroelectric_pumped_storage_1,1963,440.0,6820.0
Eastern_hydroelectric_pumped_storage_1,1961,60.0,930.0
Eastern_hydroelectric_pumped_storage_1,1962,180.0,2790.0
Eastern_hydroelectric_pumped_storage_1,1956,67.5,1046.25
Eastern_hydroelectric_pumped_storage_1,1968,397.0,6153.5
Eastern_hydroelectric_pumped_storage_1,1971,129.0,1999.5
Eastern_hydroelectric_pumped_storage_1,1967,802.0,12431.0
Eastern_hydroelectric_pumped_storage_1,1975,390.0,6045.0
Eastern_hydroelectric_pumped_storage_1,1965,486.0,7533.0
Eastern_hydroelectric_pumped_storage_1,1980,265.9,4121.45
Eastern_hydroelectric_pumped_storage_1,1966,66.0,1023.0
Eastern_hydroelectric_pumped_storage_1,1979,1296.5,20095.75
Eastern_hydroelectric_pumped_storage_1,1978,980.1,15191.55
Eastern_hydroelectric_pumped_storage_1,1977,320.0,4960.0
Eastern_hydroelectric_pumped_storage_1,2002,328.0,5084.0
