GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Eastern_onshore_wind_turbine_1,82,0.4308619791173979
Eastern_solar_photovoltaic_1,82,0.37949252781546816
Western_onshore_wind_turbine_1,82,0.2620818081890629
Western_solar_photovoltaic_1,82,0.00012005038371380496
ERCOT_onshore_wind_turbine_1,83,0.466520671684306
ERCOT_solar_photovoltaic_1,83,0.37607776845637586
Eastern_onshore_wind_turbine_1,83,0.39605973677074335
Eastern_solar_photovoltaic_1,83,0.5448779905020352
Western_onshore_wind_turbine_1,83,0.2879628293667419
Western_solar_photovoltaic_1,83,0.06159775996731868
ERCOT_onshore_wind_turbine_1,84,0.27508248493504617
ERCOT_solar_photovoltaic_1,84,0.5412621644295302
Eastern_onshore_wind_turbine_1,84,0.2469881885278123
Eastern_solar_photovoltaic_1,84,0.6490207123473541
Western_onshore_wind_turbine_1,84,0.19197500754575886
Western_solar_photovoltaic_1,84,0.3489317573022342
ERCOT_onshore_wind_turbine_1,85,0.4285026274402818
ERCOT_solar_photovoltaic_1,85,0.6068304530201342
Eastern_onshore_wind_turbine_1,85,0.24949575516021416
Eastern_solar_photovoltaic_1,85,0.6860434776119404
Western_onshore_wind_turbine_1,85,0.18778873226746676
Western_solar_photovoltaic_1,85,0.5177692362684926
ERCOT_onshore_wind_turbine_1,86,0.46511517407945313
ERCOT_solar_photovoltaic_1,86,0.6522460570469799
Eastern_onshore_wind_turbine_1,86,0.2466707174794569
Eastern_solar_photovoltaic_1,86,0.6849510888738127
Western_onshore_wind_turbine_1,86,0.18328613202149752
Western_solar_photovoltaic_1,86,0.6165456599974712
ERCOT_onshore_wind_turbine_1,87,0.4028973825896475
ERCOT_solar_photovoltaic_1,87,0.6413670302013423
Eastern_onshore_wind_turbine_1,87,0.23946005440323564
