Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,86,19986,17660,27308,38238,53200,34499,19111,26985,43357,38623,20339,16558,20219,21244,67040,62339,18212,12688,8789,19751,38358,37454,42710,21538,60074,2669
,,,,,,,,87,20152,18247,28218,38509,52716,34122,19004,26595,42877,38902,20237,16488,20164,21258,67120,61495,18557,12538,8714,19569,39023,37260,42939,21837,59412,2640
,,,,,,,,88,20311,18679,28887,41362,54067,34848,19522,26902,43166,39190,20627,16753,20449,22525,70740,63496,18619,12545,8862,19666,42980,39109,45822,21948,59506,2644
,,,,,,,,89,20157,18895,29222,48669,59399,36894,20764,28373,46023,38964,21687,17464,21090,24612,77578,67982,19254,13190,9399,20648,50137,43391,52253,22130,61687,2741
,,,,,,,,90,20836,19357,29940,56613,67189,40354,23048,30878,51059,39846,23538,18763,22681,26965,85768,74415,21332,14290,10253,22035,55014,48374,59727,23088,65280,2901
,,,,,,,,91,22463,20583,31843,56723,71398,41802,22818,33690,55960,43421,24365,19449,23617,25665,81858,72026,24034,15823,11174,23994,51522,47492,58852,24934,70505,3133
,,,,,,,,92,25086,22155,34290,52133,71733,38938,20845,33203,51756,49018,23775,19030,21936,22937,75616,66633,26631,15323,10604,23868,46075,43345,53222,27631,71545,3179
,,,,,,,,93,26654,24569,38037,47879,71696,36479,19532,30330,46225,53125,23467,18742,21140,21891,73127,64604,23725,13843,9421,21801,43414,40233,48520,28326,65766,2922
,,,,,,,,94,24159,22598,34984,43827,42198,34776,17683,29158,43812,48077,18425,15126,20642,20079,62016,58797,19956,13246,8829,21054,38988,37692,43885,25709,63094,2804
,,,,,,,,95,21458,19611,30356,39940,36905,32437,16246,27471,38656,40964,16959,14011,18895,18009,55910,53840,18725,12428,8087,19969,35673,34723,39754,23432,59862,2660
,,,,,,,,96,19989,18308,28343,37249,36063,30636,15119,25174,35206,38007,16192,13342,17798,16665,52586,50937,16770,11505,7397,18481,33863,32728,37136,21743,55264,2456
,,,,,,,,97,18557,16796,26000,36367,33366,29520,14452,23518,33464,34203,14763,12167,16877,15557,49405,48405,15201,10918,6975,17315,32706,31938,35783,19942,51130,2272
,,,,,,,,98,17092,15131,23420,35936,32273,28967,13982,22270,32038,30623,13857,11406,16435,15178,48178,47342,14351,10546,6707,16423,32186,31530,35054,18436,48420,2152
,,,,,,,,99,16246,13875,21467,36350,31772,28526,13639,21682,31140,27928,13373,11014,16103,15015,47664,46615,13581,10338,6572,16003,32241,31609,35099,17513,47268,2100
,,,,,,,,100,15658,12972,20063,37781,31577,28551,13502,21577,30650,26452,13133,10798,15938,15131,47744,46854,13405,10254,6544,15857,33088,32244,35867,16980,46790,2079
,,,,,,,,101,15434,12390,19163,41040,32148,29090,13669,21832,31029,25870,13019,10685,16029,15455,48698,47915,13520,10406,6659,15908,35178,33529,37839,16758,47309,2102
,,,,,,,,102,15301,12047,18635,46816,33279,30531,14657,22551,31992,25434,13450,10988,16502,16827,52532,51987,13697,10692,6902,16254,40022,36575,42330,16887,48829,2170
,,,,,,,,103,15660,12110,18731,49568,43017,33769,17094,24813,35522,26154,15927,12726,17991,19808,63287,60741,13797,11525,7532,17661,45502,40937,48394,17615,53894,2395
,,,,,,,,104,16429,12425,19217,49055,59163,36488,19004,27606,41303,27631,18961,15084,20681,20889,69170,64414,14901,12727,8474,19934,44291,42001,47647,19183,62729,2787
,,,,,,,,105,18315,13582,21006,44818,58939,36276,19065,28968,44172,31626,19689,15837,21250,20221,66898,62103,16836,13374,9110,21403,40651,39975,45014,21650,66643,2961
,,,,,,,,106,20264,15722,24329,40808,54396,34585,18451,27797,42768,38402,19071,15559,20364,19341,64106,59320,18165,13008,8846,20916,37560,37218,42011,22897,64253,2855
,,,,,,,,107,20802,17043,26376,38040,50278,33178,18078,26724,40504,41878,18549,15194,19468,18438,62200,57876,17811,12472,8506,20245,35356,35320,39645,22610,61430,2730
,,,,,,,,108,20256,17194,26601,37493,48089,32701,17921,25689,40609,40576,17986,14851,19281,18274,60407,56596,17052,12382,8445,19501,34431,34360,38613,21937,59828,2659
,,,,,,,,109,19862,17186,26575,37132,46052,32250,17960,25888,40265,38195,17754,14710,18835,18262,59607,55937,17012,12276,8450,19530,34218,34187,38837,21420,59523,2645
,,,,,,,,110,19861,17631,27265,36559,44200,31741,17845,26108,40580,38642,17331,14414,18513,18009,58651,54902,17264,12211,8494,19662,33550,33740,38341,21487,59361,2638
,,,,,,,,111,19849,18238,28204,36896,43824,31341,17774,26034,40259,38615,17247,14360,18287,18184,58443,54466,17711,12076,8504,19391,33949,33582,38403,21688,58884,2617
,,,,,,,,112,20052,18673,28878,39343,45144,31827,18251,26336,40422,38897,17635,14630,18442,19214,61125,56375,17817,12086,8616,19513,36854,35276,40798,21793,59024,2623
,,,,,,,,113,20011,18847,29147,45135,49207,33738,19362,27714,42842,38676,18533,15222,18924,21066,67203,60636,18544,12636,9108,20329,42650,39087,45803,21961,61245,2722
,,,,,,,,114,20604,19303,29856,52178,55728,36943,21378,29917,47410,39532,19996,16238,20315,23725,75595,66826,20566,13640,9941,21579,47798,44156,52872,22990,64443,2864
,,,,,,,,115,22323,20488,31698,50654,59902,38736,21391,32388,52319,42969,20688,16856,21390,22906,71971,65276,23186,15062,10704,23449,44847,43731,52470,24790,69125,3072
,,,,,,,,116,24800,21949,33972,45440,59638,35990,19548,31716,48233,48881,20031,16368,19901,20739,66559,60259,25715,14546,10098,23246,40429,40069,47355,27423,69858,3104
