GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
Eastern_conventional_hydroelectric_1,1931,0,0,.,0
Eastern_conventional_hydroelectric_1,1932,0,0,.,0
Eastern_conventional_hydroelectric_1,1933,0,0,.,0
Eastern_conventional_hydroelectric_1,1934,0,0,.,0
Eastern_conventional_hydroelectric_1,1935,0,0,.,0
Eastern_conventional_hydroelectric_1,1936,0,0,.,0
Eastern_conventional_hydroelectric_1,1937,0,0,.,0
Eastern_conventional_hydroelectric_1,1938,0,0,.,0
Eastern_conventional_hydroelectric_1,1939,0,0,.,0
Eastern_conventional_hydroelectric_1,1940,0,0,.,0
Eastern_conventional_hydroelectric_1,1941,0,0,.,0
Eastern_conventional_hydroelectric_1,1942,0,0,.,0
Eastern_conventional_hydroelectric_1,1943,0,0,.,0
Eastern_conventional_hydroelectric_1,1944,0,0,.,0
Eastern_conventional_hydroelectric_1,1945,0,0,.,0
Eastern_conventional_hydroelectric_1,1946,0,0,.,0
Eastern_conventional_hydroelectric_1,1947,0,0,.,0
Eastern_conventional_hydroelectric_1,1948,0,0,.,0
Eastern_conventional_hydroelectric_1,1949,0,0,.,0
Eastern_conventional_hydroelectric_1,1950,0,0,.,0
Eastern_conventional_hydroelectric_1,1951,0,0,.,0
Eastern_conventional_hydroelectric_1,1952,0,0,.,0
Eastern_conventional_hydroelectric_1,1953,0,0,.,0
Eastern_conventional_hydroelectric_1,1954,0,0,.,0
Eastern_conventional_hydroelectric_1,1955,0,0,.,0
Eastern_conventional_hydroelectric_1,1956,0,0,.,0
Eastern_conventional_hydroelectric_1,1957,0,0,.,0
Eastern_conventional_hydroelectric_1,1958,0,0,.,0
Eastern_conventional_hydroelectric_1,1959,0,0,.,0
Eastern_conventional_hydroelectric_1,1960,0,0,.,0
Eastern_conventional_hydroelectric_1,1961,0,0,.,0
Eastern_conventional_hydroelectric_1,1962,0,0,.,0
Eastern_conventional_hydroelectric_1,1963,0,0,.,0
Eastern_conventional_hydroelectric_1,1964,0,0,.,0
