hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
PJMD_conventional_hydroelectric_1,2050_p5,58.79629,84.71326779761905
PJME_conventional_hydroelectric_1,2050_p5,267.7733005385176,282.89276631962514
PJMW_conventional_hydroelectric_1,2050_p5,228.08898461248353,229.72891417133607
RMRG_conventional_hydroelectric_1,2050_p5,90.5741010211272,98.72231158890315
SPPC_conventional_hydroelectric_1,2050_p5,8.398,8.739559523809522
SPPN_conventional_hydroelectric_1,2050_p5,920.6027391833535,947.0296362631843
SPPS_conventional_hydroelectric_1,2050_p5,429.64652,475.4743186904762
SRCA_conventional_hydroelectric_1,2050_p5,192.36593999999997,212.073925297619
SRCE_conventional_hydroelectric_1,2050_p5,1271.3265892725249,1342.4221293178946
SRSE_conventional_hydroelectric_1,2050_p5,812.7961499999999,906.2456014285713
SRSG_conventional_hydroelectric_1,2050_p5,590.5388698719456,596.8748513316042
TRE_conventional_hydroelectric_1,2050_p5,0.0,0.5626586035714286
BASN_conventional_hydroelectric_1,2050_p8,504.30322826156794,515.7238776799783
CANO_conventional_hydroelectric_1,2050_p8,866.6884799414566,882.2968898757039
CASO_conventional_hydroelectric_1,2050_p8,119.6741586085487,119.85552830141691
FRCC_conventional_hydroelectric_1,2050_p8,14.8944,14.95786339285714
ISNE_conventional_hydroelectric_1,2050_p8,200.88767365614962,205.38606055823303
MISC_conventional_hydroelectric_1,2050_p8,102.42010220397465,104.05940308944105
MISS_conventional_hydroelectric_1,2050_p8,258.1534230303031,260.1501557251083
MISW_conventional_hydroelectric_1,2050_p8,23.653116466742983,24.039927960813227
NWPP_conventional_hydroelectric_1,2050_p8,11320.457715641372,11558.05792333541
NYUP_conventional_hydroelectric_1,2050_p8,2555.109059190532,2556.4815532508924
PJMC_conventional_hydroelectric_1,2050_p8,3.7824800000000005,3.9663742857142856
PJMD_conventional_hydroelectric_1,2050_p8,36.11159,39.74274773809524
PJME_conventional_hydroelectric_1,2050_p8,254.55427137002346,255.96589736269297
PJMW_conventional_hydroelectric_1,2050_p8,226.64931446351125,228.51870958442214
RMRG_conventional_hydroelectric_1,2050_p8,83.42933709396215,87.45647262817867
SPPC_conventional_hydroelectric_1,2050_p8,9.375599999999999,9.936673809523809
SPPN_conventional_hydroelectric_1,2050_p8,897.4773369944683,898.5037039966434
SPPS_conventional_hydroelectric_1,2050_p8,561.39996,565.5237185714286
SRCA_conventional_hydroelectric_1,2050_p8,175.14990999999998,175.81201779761903
SRCE_conventional_hydroelectric_1,2050_p8,1175.6955378977013,1200.9163483862196
SRSE_conventional_hydroelectric_1,2050_p8,731.0278799999999,740.0932058928571
SRSG_conventional_hydroelectric_1,2050_p8,584.8873055072398,587.8446717059894
TRE_conventional_hydroelectric_1,2050_p8,0.0,2.0542775
