GENERATION_PROJECT,build_year,build_gen_predetermined,gen_predetermined_storage_energy_mwh
CANO_small_hydroelectric_1,1954,2.0,.
CANO_small_hydroelectric_1,1986,54.1,.
CANO_small_hydroelectric_1,1983,56.9,.
CANO_small_hydroelectric_1,1967,9.0,.
CANO_small_hydroelectric_1,1957,8.5,.
CANO_small_hydroelectric_1,1958,16.5,.
CANO_small_hydroelectric_1,2012,6.0,.
CANO_small_hydroelectric_1,1966,22.0,.
CANO_small_hydroelectric_1,1982,5.3,.
CANO_small_hydroelectric_1,1968,30.0,.
CANO_small_hydroelectric_1,1955,16.6,.
CANO_small_hydroelectric_1,1985,21.5,.
CANO_small_hydroelectric_1,1987,22.3,.
CANO_small_hydroelectric_1,1984,2.7,.
CANO_small_hydroelectric_1,1988,45.8,.
CANO_small_hydroelectric_1,1993,19.7,.
CANO_small_hydroelectric_1,1989,33.0,.
CANO_small_hydroelectric_1,1990,16.6,.
CANO_small_hydroelectric_1,1992,14.5,.
CANO_small_hydroelectric_1,2014,1.5,.
CANO_small_hydroelectric_1,2022,1.4,.
CANO_solar_photovoltaic_1,2023,610.1,.
CANO_solar_photovoltaic_1,2021,544.0,.
CANO_solar_photovoltaic_1,2024,1050.3,.
CANO_solar_photovoltaic_1,2022,297.5,.
CASO_biomass_1,2008,1.6,.
CASO_biomass_1,2009,1.6,.
CASO_biomass_1,1986,16.4,.
CASO_biomass_1,2001,9.0,.
CASO_biomass_1,2003,9.0,.
CASO_biomass_1,2011,2.4,.
CASO_biomass_1,2022,3.1,.
CASO_biomass_1,2012,37.2,.
CASO_biomass_1,2007,0.6,.
CASO_biomass_1,2014,20.0,.
CASO_biomass_1,2013,3.3,.
CASO_biomass_1,2019,5.6,.
CASO_biomass_1,2016,25.2,.
CASO_biomass_1,2017,22.0,.
CASO_biomass_1,2018,3.0,.
CASO_biomass_1,2023,4.8,.
CASO_biomass_1,2021,1.4,.
CASO_conventional_hydroelectric_1,1980,36.5,.
CASO_conventional_hydroelectric_1,1951,100.0,.
CASO_conventional_hydroelectric_1,1960,190.0,.
CASO_conventional_hydroelectric_1,1972,108.5,.
CASO_conventional_hydroelectric_1,1952,75.0,.
CASO_conventional_hydroelectric_1,1953,36.5,.
CASO_conventional_hydroelectric_1,1976,57.0,.
CASO_conventional_hydroelectric_1,1994,74.0,.
CASO_conventional_hydroelectric_1,1992,74.0,.
CASO_conventional_hydroelectric_1,1982,38.0,.
CASO_conventional_hydroelectric_1,1983,65.0,.
CASO_conventional_hydroelectric_1,1987,27.0,.
CASO_conventional_hydroelectric_1,1996,32.4,.
CASO_conventional_hydroelectric_1,2023,3.3,.
CASO_conventional_hydroelectric_1,1993,1.8,.
CASO_hydroelectric_pumped_storage_1,1973,270.5,4192.75
CASO_hydroelectric_pumped_storage_1,1974,270.5,4192.75
CASO_hydroelectric_pumped_storage_1,1977,541.0,8385.5
CASO_hydroelectric_pumped_storage_1,1978,541.0,8385.5
CASO_hydroelectric_pumped_storage_1,2012,42.0,651
CASO_natural_gas_fired_combined_cycle_1,2005,2765.0,.
CASO_natural_gas_fired_combined_cycle_1,2006,784.0,.
CASO_natural_gas_fired_combined_cycle_1,1995,206.0,.
CASO_natural_gas_fired_combined_cycle_1,2015,311.0,.
CASO_natural_gas_fired_combined_cycle_1,2004,533.0,.
CASO_natural_gas_fired_combined_cycle_1,2016,84.0,.
CASO_natural_gas_fired_combined_cycle_1,2013,555.9,.
CASO_natural_gas_fired_combined_cycle_1,1996,48.3,.
CASO_natural_gas_fired_combined_cycle_1,1987,77.4,.
CASO_natural_gas_fired_combined_cycle_1,2003,1375.0,.
CASO_natural_gas_fired_combined_cycle_1,2002,13.7,.
CASO_natural_gas_fired_combined_cycle_1,1993,87.0,.
CASO_natural_gas_fired_combined_cycle_1,2001,51.4,.
CASO_natural_gas_fired_combined_cycle_1,1988,84.5,.
CASO_natural_gas_fired_combined_cycle_1,1994,49.4,.
CASO_natural_gas_fired_combined_cycle_1,2009,607.1,.
CASO_natural_gas_fired_combined_cycle_1,2007,19.0,.
CASO_natural_gas_fired_combustion_turbine_1,2004,147.2,.
CASO_natural_gas_fired_combustion_turbine_1,2002,437.5,.
CASO_natural_gas_fired_combustion_turbine_1,2013,1945.9,.
CASO_natural_gas_fired_combustion_turbine_1,2015,216.4,.
CASO_natural_gas_fired_combustion_turbine_1,2008,3.5,.
CASO_natural_gas_fired_combustion_turbine_1,2016,340.4,.
CASO_natural_gas_fired_combustion_turbine_1,2019,30.5,.
CASO_natural_gas_fired_combustion_turbine_1,2003,97.4,.
CASO_natural_gas_fired_combustion_turbine_1,2012,60.0,.
CASO_natural_gas_fired_combustion_turbine_1,2001,458.7,.
CASO_natural_gas_fired_combustion_turbine_1,2014,59.0,.
CASO_natural_gas_fired_combustion_turbine_1,2006,100.0,.
CASO_natural_gas_fired_combustion_turbine_1,2011,290.8,.
CASO_natural_gas_fired_combustion_turbine_1,2005,51.0,.
CASO_natural_gas_fired_combustion_turbine_1,2009,47.0,.
CASO_natural_gas_fired_combustion_turbine_1,2007,195.0,.
CASO_natural_gas_fired_combustion_turbine_1,2010,163.0,.
CASO_natural_gas_fired_combustion_turbine_1,2018,527.5,.
CASO_natural_gas_fired_combustion_turbine_1,2017,45.3,.
CASO_natural_gas_internal_combustion_engine_1,2012,12.6,.
CASO_natural_gas_internal_combustion_engine_1,2001,2.8,.
CASO_natural_gas_internal_combustion_engine_1,2015,1.2,.
CASO_natural_gas_internal_combustion_engine_1,2023,1.5,.
CASO_natural_gas_internal_combustion_engine_1,2022,1.5,.
CASO_natural_gas_internal_combustion_engine_1,2002,1.0,.
CASO_natural_gas_internal_combustion_engine_1,2005,8.4,.
CASO_natural_gas_internal_combustion_engine_1,2006,3.6,.
CASO_natural_gas_internal_combustion_engine_1,2013,4.4,.
CASO_natural_gas_internal_combustion_engine_1,2018,6.6,.
CASO_natural_gas_internal_combustion_engine_1,2021,5.0,.
CASO_onshore_wind_turbine_1,2021,293.6,.
CASO_onshore_wind_turbine_1,2023,95.5,.
CASO_onshore_wind_turbine_1,2024,27.0,.
CASO_petroleum_liquids_1,2011,2.3,.
CASO_petroleum_liquids_1,2018,1.0,.
CASO_small_hydroelectric_1,1982,18.6,.
CASO_small_hydroelectric_1,1956,10.8,.
CASO_small_hydroelectric_1,1999,3.1,.
