LOAD_ZONE,TIMEPOINT,zone_demand_mw
BASN,1080,26578
BASN,1081,24101
BASN,1082,21995
BASN,1083,20629
BASN,1084,19684
BASN,1085,19184
BASN,1086,19085
BASN,1087,19278
BASN,1088,20145
BASN,1089,22617
BASN,1090,25569
BASN,1091,26335
BASN,1092,25331
BASN,1093,24818
BASN,1094,24955
BASN,1095,25392
BASN,1096,25737
BASN,1097,25866
BASN,1098,26906
BASN,1099,29918
BASN,1100,33318
BASN,1101,35865
BASN,1102,31829
BASN,1103,27278
BASN,1104,25281
BASN,1105,23173
BASN,1106,21290
BASN,1107,20108
BASN,1108,19154
BASN,1109,18732
BASN,1110,18541
BASN,1111,18829
BASN,1112,19611
BASN,1113,22046
BASN,1114,24680
BASN,1115,25702
BASN,1116,25192
BASN,1117,24781
BASN,1118,25038
BASN,1119,25533
BASN,1120,25954
BASN,1121,26199
BASN,1122,27444
BASN,1123,30292
BASN,1124,33793
BASN,1125,36026
BASN,1126,31883
BASN,1127,27395
BASN,1128,25412
BASN,1129,23460
BASN,1130,21589
BASN,1131,20519
BASN,1132,19748
BASN,1133,19346
BASN,1134,19235
BASN,1135,19550
BASN,1136,20519
BASN,1137,23114
BASN,1138,25957
BASN,1139,27237
BASN,1140,26686
BASN,1141,26039
BASN,1142,26123
BASN,1143,26655
BASN,1144,26896
BASN,1145,26842
BASN,1146,27929
BASN,1147,30591
BASN,1148,33931
BASN,1149,36605
BASN,1150,32691
BASN,1151,28108
BASN,1152,26110
BASN,1153,24341
BASN,1154,22594
BASN,1155,21947
BASN,1156,22610
BASN,1157,21632
BASN,1158,21672
BASN,1159,21676
BASN,1160,22113
BASN,1161,23353
BASN,1162,24896
BASN,1163,25370
BASN,1164,26102
BASN,1165,27157
BASN,1166,28164
BASN,1167,29028
BASN,1168,29801
BASN,1169,29619
BASN,1170,29763
BASN,1171,30314
BASN,1172,31385
BASN,1173,32609
BASN,1174,34272
BASN,1175,33348
BASN,1176,31795
BASN,1177,26031
BASN,1178,23667
BASN,1179,21080
BASN,1180,18948
BASN,1181,17843
BASN,1182,17839
BASN,1183,17765
BASN,1184,17889
BASN,1185,18472
BASN,1186,19018
BASN,1187,19722
BASN,1188,20839
BASN,1189,22386
BASN,1190,23732
BASN,1191,25091
BASN,1192,26415
BASN,1193,26676
BASN,1194,27173
BASN,1195,27880
BASN,1196,28619
BASN,1197,28327
BASN,1198,29900
BASN,1199,30370
BASN,1200,28363
BASN,1201,25525
BASN,1202,23052
BASN,1203,19940
BASN,1204,16650
BASN,1205,16252
BASN,1206,16100
BASN,1207,16620
BASN,1208,17851
BASN,1209,19939
BASN,1210,21642
BASN,1211,22748
BASN,1212,22782
BASN,1213,22632
BASN,1214,23371
BASN,1215,24341
BASN,1216,24957
BASN,1217,24902
BASN,1218,26203
BASN,1219,29070
BASN,1220,31832
BASN,1221,32388
BASN,1222,28846
BASN,1223,25066
BASN,1224,23270
BASN,1225,21113
BASN,1226,19073
BASN,1227,17935
BASN,1228,17115
BASN,1229,16652
BASN,1230,16415
BASN,1231,16823
BASN,1232,17931
BASN,1233,20213
BASN,1234,21936
BASN,1235,22952
BASN,1236,22961
BASN,1237,22806
BASN,1238,23444
BASN,1239,24379
BASN,1240,24974
BASN,1241,25251
BASN,1242,26725
BASN,1243,29641
BASN,1244,32328
BASN,1245,33180
BASN,1246,29451
BASN,1247,25586
BASN,1248,23663
BASN,1249,21358
BASN,1250,19346
BASN,1251,18090
BASN,1252,17237
BASN,1253,16759
BASN,1254,16385
BASN,1255,16781
BASN,1256,17805
BASN,1257,19890
BASN,1258,21755
BASN,1259,22798
BASN,1260,22969
BASN,1261,22987
BASN,1262,23636
BASN,1263,24603
BASN,1264,25076
BASN,1265,25313
BASN,1266,26718
BASN,1267,29339
BASN,1268,32059
BASN,1269,32886
BASN,1270,28860
BASN,1271,25377
BASN,1272,23627
BASN,1273,21525
BASN,1274,19573
BASN,1275,18163
BASN,1276,17261
BASN,1277,16818
BASN,1278,16471
BASN,1279,16736
BASN,1280,17853
BASN,1281,19905
BASN,1282,21507
BASN,1283,22536
BASN,1284,22786
BASN,1285,22953
BASN,1286,23702
BASN,1287,24623
BASN,1288,25183
BASN,1289,25627
BASN,1290,27004
BASN,1291,29580
BASN,1292,32119
BASN,1293,32711
BASN,1294,29012
BASN,1295,25401
BASN,1296,23685
BASN,1297,21421
BASN,1298,19404
BASN,1299,18139
BASN,1300,17219
BASN,1301,16751
BASN,1302,16377
BASN,1303,16633
BASN,1304,17379
BASN,1305,19239
BASN,1306,20900
BASN,1307,22130
BASN,1308,22569
BASN,1309,22704
BASN,1310,23534
BASN,1311,24684
BASN,1312,25283
BASN,1313,25751
BASN,1314,27021
BASN,1315,29582
BASN,1316,32422
BASN,1317,32824
BASN,1318,28922
BASN,1319,25212
BASN,1320,23618
BASN,1321,21566
BASN,1322,19592
BASN,1323,18728
BASN,1324,19123
BASN,1325,17755
BASN,1326,17661
BASN,1327,17508
BASN,1328,17436
BASN,1329,18103
BASN,1330,18694
BASN,1331,19381
BASN,1332,21085
BASN,1333,23130
BASN,1334,25023
BASN,1335,26591
BASN,1336,28161
BASN,1337,29000
BASN,1338,29844
BASN,1339,30779
BASN,1340,31565
BASN,1341,30819
BASN,1342,31826
BASN,1343,31642
BASN,1344,29578
BASN,1345,28325
BASN,1346,25821
BASN,1347,23196
BASN,1348,21241
BASN,1349,20302
BASN,1350,20311
BASN,1351,20277
BASN,1352,20481
BASN,1353,21158
BASN,1354,22185
BASN,1355,22767
BASN,1356,23666
BASN,1357,24727
BASN,1358,25658
BASN,1359,26824
BASN,1360,27761
BASN,1361,27872
BASN,1362,28071
BASN,1363,28633
BASN,1364,29834
BASN,1365,31161
BASN,1366,32760
BASN,1367,32218
BASN,1368,30359
BASN,1369,28611
BASN,1370,26173
BASN,1371,23095
BASN,1372,19975
BASN,1373,19705
BASN,1374,19625
BASN,1375,19923
BASN,1376,20486
BASN,1377,22057
BASN,1378,24004
BASN,1379,25220
BASN,1380,25594
BASN,1381,25265
BASN,1382,25593
BASN,1383,26158
BASN,1384,26530
BASN,1385,26622
BASN,1386,27868
BASN,1387,30715
BASN,1388,33677
BASN,1389,35787
BASN,1390,32043
BASN,1391,27279
BASN,1392,25421
BASN,1393,23472
BASN,1394,21638
BASN,1395,20320
BASN,1396,19516
BASN,1397,19179
BASN,1398,18962
BASN,1399,19275
BASN,1400,20164
BASN,1401,22588
BASN,1402,25049
BASN,1403,25706
BASN,1404,25245
BASN,1405,24744
BASN,1406,24879
BASN,1407,25346
BASN,1408,25728
BASN,1409,25762
BASN,1410,27040
BASN,1411,29748
BASN,1412,32659
BASN,1413,34603
BASN,1414,31041
BASN,1415,26636
BASN,1416,24548
BASN,1417,22513
BASN,1418,20691
BASN,1419,19411
BASN,1420,18497
BASN,1421,18113
BASN,1422,17857
BASN,1423,18118
BASN,1424,18779
BASN,1425,20947
BASN,1426,23140
BASN,1427,24185
BASN,1428,23926
BASN,1429,23477
BASN,1430,23699
BASN,1431,24196
BASN,1432,24784
BASN,1433,24873
BASN,1434,26068
BASN,1435,28673
BASN,1436,31403
BASN,1437,33319
BASN,1438,30128
BASN,1439,25898
BASN,1440,23755
BASN,1441,21932
BASN,1442,20293
BASN,1443,19433
BASN,1444,18681
BASN,1445,18420
BASN,1446,18194
BASN,1447,18490
