timepoint_id,timestamp,timeseries
373,2030_p20_36,2030_p20
374,2030_p20_37,2030_p20
375,2030_p20_38,2030_p20
376,2030_p20_39,2030_p20
377,2030_p20_40,2030_p20
378,2030_p20_41,2030_p20
379,2030_p20_42,2030_p20
380,2030_p20_43,2030_p20
381,2030_p20_44,2030_p20
382,2030_p20_45,2030_p20
383,2030_p20_46,2030_p20
384,2030_p20_47,2030_p20
385,2030_p20_48,2030_p20
386,2030_p20_49,2030_p20
387,2030_p20_50,2030_p20
388,2030_p20_51,2030_p20
389,2030_p20_52,2030_p20
390,2030_p20_53,2030_p20
391,2030_p20_54,2030_p20
392,2030_p20_55,2030_p20
393,2030_p20_56,2030_p20
394,2030_p20_57,2030_p20
395,2030_p20_58,2030_p20
396,2030_p20_59,2030_p20
397,2030_p20_60,2030_p20
398,2030_p20_61,2030_p20
399,2030_p20_62,2030_p20
400,2030_p20_63,2030_p20
401,2030_p20_64,2030_p20
402,2030_p20_65,2030_p20
403,2030_p20_66,2030_p20
404,2030_p20_67,2030_p20
405,2030_p20_68,2030_p20
406,2030_p20_69,2030_p20
407,2030_p20_70,2030_p20
408,2030_p20_71,2030_p20
409,2030_p20_72,2030_p20
410,2030_p20_73,2030_p20
411,2030_p20_74,2030_p20
412,2030_p20_75,2030_p20
413,2030_p20_76,2030_p20
414,2030_p20_77,2030_p20
415,2030_p20_78,2030_p20
416,2030_p20_79,2030_p20
417,2030_p20_80,2030_p20
418,2030_p20_81,2030_p20
419,2030_p20_82,2030_p20
420,2030_p20_83,2030_p20
421,2030_p20_84,2030_p20
422,2030_p20_85,2030_p20
423,2030_p20_86,2030_p20
424,2030_p20_87,2030_p20
425,2030_p20_88,2030_p20
426,2030_p20_89,2030_p20
427,2030_p20_90,2030_p20
428,2030_p20_91,2030_p20
429,2030_p20_92,2030_p20
430,2030_p20_93,2030_p20
431,2030_p20_94,2030_p20
432,2030_p20_95,2030_p20
433,2030_p20_96,2030_p20
434,2030_p20_97,2030_p20
435,2030_p20_98,2030_p20
436,2030_p20_99,2030_p20
437,2030_p20_100,2030_p20
438,2030_p20_101,2030_p20
439,2030_p20_102,2030_p20
440,2030_p20_103,2030_p20
441,2030_p20_104,2030_p20
442,2030_p20_105,2030_p20
443,2030_p20_106,2030_p20
444,2030_p20_107,2030_p20
445,2030_p20_108,2030_p20
446,2030_p20_109,2030_p20
447,2030_p20_110,2030_p20
448,2030_p20_111,2030_p20
449,2030_p20_112,2030_p20
450,2030_p20_113,2030_p20
451,2030_p20_114,2030_p20
452,2030_p20_115,2030_p20
453,2030_p20_116,2030_p20
454,2030_p20_117,2030_p20
455,2030_p20_118,2030_p20
456,2030_p20_119,2030_p20
457,2030_p20_120,2030_p20
458,2030_p20_121,2030_p20
459,2030_p20_122,2030_p20
460,2030_p20_123,2030_p20
461,2030_p20_124,2030_p20
462,2030_p20_125,2030_p20
463,2030_p20_126,2030_p20
464,2030_p20_127,2030_p20
465,2030_p20_128,2030_p20
466,2030_p20_129,2030_p20
467,2030_p20_130,2030_p20
468,2030_p20_131,2030_p20
469,2030_p20_132,2030_p20
470,2030_p20_133,2030_p20
471,2030_p20_134,2030_p20
472,2030_p20_135,2030_p20
473,2030_p20_136,2030_p20
474,2030_p20_137,2030_p20
475,2030_p20_138,2030_p20
476,2030_p20_139,2030_p20
477,2030_p20_140,2030_p20
478,2030_p20_141,2030_p20
479,2030_p20_142,2030_p20
480,2030_p20_143,2030_p20
481,2030_p20_144,2030_p20
482,2030_p20_145,2030_p20
483,2030_p20_146,2030_p20
484,2030_p20_147,2030_p20
485,2030_p20_148,2030_p20
486,2030_p20_149,2030_p20
487,2030_p20_150,2030_p20
488,2030_p20_151,2030_p20
489,2030_p20_152,2030_p20
490,2030_p20_153,2030_p20
491,2030_p20_154,2030_p20
492,2030_p20_155,2030_p20
493,2030_p20_156,2030_p20
494,2030_p20_157,2030_p20
495,2030_p20_158,2030_p20
496,2030_p20_159,2030_p20
497,2030_p20_160,2030_p20
498,2030_p20_161,2030_p20
499,2030_p20_162,2030_p20
500,2030_p20_163,2030_p20
501,2030_p20_164,2030_p20
502,2030_p20_165,2030_p20
503,2030_p20_166,2030_p20
504,2030_p20_167,2030_p20
505,2030_p42_0,2030_p42
506,2030_p42_1,2030_p42
507,2030_p42_2,2030_p42
508,2030_p42_3,2030_p42
509,2030_p42_4,2030_p42
510,2030_p42_5,2030_p42
511,2030_p42_6,2030_p42
512,2030_p42_7,2030_p42
513,2030_p42_8,2030_p42
514,2030_p42_9,2030_p42
515,2030_p42_10,2030_p42
516,2030_p42_11,2030_p42
517,2030_p42_12,2030_p42
518,2030_p42_13,2030_p42
519,2030_p42_14,2030_p42
520,2030_p42_15,2030_p42
521,2030_p42_16,2030_p42
522,2030_p42_17,2030_p42
523,2030_p42_18,2030_p42
524,2030_p42_19,2030_p42
525,2030_p42_20,2030_p42
526,2030_p42_21,2030_p42
527,2030_p42_22,2030_p42
528,2030_p42_23,2030_p42
529,2030_p42_24,2030_p42
530,2030_p42_25,2030_p42
531,2030_p42_26,2030_p42
532,2030_p42_27,2030_p42
533,2030_p42_28,2030_p42
534,2030_p42_29,2030_p42
535,2030_p42_30,2030_p42
536,2030_p42_31,2030_p42
537,2030_p42_32,2030_p42
538,2030_p42_33,2030_p42
539,2030_p42_34,2030_p42
540,2030_p42_35,2030_p42
541,2030_p42_36,2030_p42
542,2030_p42_37,2030_p42
543,2030_p42_38,2030_p42
544,2030_p42_39,2030_p42
545,2030_p42_40,2030_p42
546,2030_p42_41,2030_p42
547,2030_p42_42,2030_p42
548,2030_p42_43,2030_p42
549,2030_p42_44,2030_p42
550,2030_p42_45,2030_p42
551,2030_p42_46,2030_p42
552,2030_p42_47,2030_p42
553,2030_p42_48,2030_p42
554,2030_p42_49,2030_p42
555,2030_p42_50,2030_p42
556,2030_p42_51,2030_p42
557,2030_p42_52,2030_p42
558,2030_p42_53,2030_p42
559,2030_p42_54,2030_p42
560,2030_p42_55,2030_p42
561,2030_p42_56,2030_p42
562,2030_p42_57,2030_p42
563,2030_p42_58,2030_p42
564,2030_p42_59,2030_p42
565,2030_p42_60,2030_p42
566,2030_p42_61,2030_p42
567,2030_p42_62,2030_p42
568,2030_p42_63,2030_p42
569,2030_p42_64,2030_p42
570,2030_p42_65,2030_p42
571,2030_p42_66,2030_p42
572,2030_p42_67,2030_p42
573,2030_p42_68,2030_p42
574,2030_p42_69,2030_p42
575,2030_p42_70,2030_p42
576,2030_p42_71,2030_p42
577,2030_p42_72,2030_p42
578,2030_p42_73,2030_p42
579,2030_p42_74,2030_p42
580,2030_p42_75,2030_p42
581,2030_p42_76,2030_p42
582,2030_p42_77,2030_p42
583,2030_p42_78,2030_p42
584,2030_p42_79,2030_p42
585,2030_p42_80,2030_p42
586,2030_p42_81,2030_p42
587,2030_p42_82,2030_p42
588,2030_p42_83,2030_p42
589,2030_p42_84,2030_p42
590,2030_p42_85,2030_p42
591,2030_p42_86,2030_p42
592,2030_p42_87,2030_p42
593,2030_p42_88,2030_p42
594,2030_p42_89,2030_p42
595,2030_p42_90,2030_p42
596,2030_p42_91,2030_p42
597,2030_p42_92,2030_p42
598,2030_p42_93,2030_p42
599,2030_p42_94,2030_p42
600,2030_p42_95,2030_p42
601,2030_p42_96,2030_p42
602,2030_p42_97,2030_p42
603,2030_p42_98,2030_p42
604,2030_p42_99,2030_p42
605,2030_p42_100,2030_p42
606,2030_p42_101,2030_p42
607,2030_p42_102,2030_p42
608,2030_p42_103,2030_p42
609,2030_p42_104,2030_p42
610,2030_p42_105,2030_p42
611,2030_p42_106,2030_p42
612,2030_p42_107,2030_p42
